Category_Value,Count
network:accuweather,3146213
network:aetv,1601744872
network:alliant,4537896
network:amc,678738960
network:americastestkitchen,12410604
network:aspire,106164638
network:axs,3842531
network:beinx,1079868
network:blueant,3658755
network:cheddar,435115
network:cinedigm,6959
network:cineverse,8460276
network:condenast,2579381
network:deckthehallmark,44823
network:designnetwork,390204
network:discovery,772833699
network:earthx,1851259
network:electric,6213948
network:fetv,71605187
network:fremantle,21027306
network:gac,120632922
network:gsn,189414162
network:gusto,873485
network:hallmark,184336000
network:hartbeat,15139454
network:hubbard,3549974
network:insight,1735434
network:insp,187767514
network:kin,41845
network:lawcrime,33509811
network:lionsgate,84577562
network:magnolia,2840431
network:mythical,1125681
network:nosey,37154101
network:ottstudio,1087560
network:outside,424510
network:pbs,5999168
network:playerstv,155461
network:pocketwatch,31743
network:retrocrush,39782
network:revry,884274
network:scripps,345136050
network:sinclair,1664411
network:sony,59541272
network:tastemade,5085498
network:tmb,14194734
network:tnmarketing,1432865
network:urbanone,436077891
network:usatoday,179553
network:viacom,1740790106
network:wbd,21032344
network:weigel,415070169
network:worldpokertour,1190212
genre:Action,3065592
genre:Action sports,27705
genre:Action sports;Competition reality,152650
genre:Action sports;Sport climbing,70345
genre:Action;Anime,38804
genre:Action;Comedy drama,673814
genre:Action;Historical drama,7905
genre:Action;Horror,19637
genre:Action;Horror;Thriller,44092
genre:Action;Martial arts,527241
genre:Action;Martial arts;Thriller;Sports,13860
genre:Action;Romance;War;Action & Adventure,12702
genre:Action;Thriller,28300400
genre:Action;Thriller;Action & Adventure,32039
genre:Action;Thriller;Action & Adventure;James Bond,4127
genre:Action;Thriller;Dark comedy,3828
genre:Action;Thriller;Sci-Fi,1573
genre:Action;War,267
genre:Action;War;Historical drama,111802
genre:Action;War;Thriller,4328
genre:Action;Western,15133259
genre:Action;Western;Romance,11257
genre:Action;Western;Thriller,947
genre:Adventure,6303030
genre:Adventure;Action,903759
genre:Adventure;Action;Action sports;Competition reality,1438661
genre:Adventure;Action;Anime,41493
genre:Adventure;Action;Competition reality,1668072
genre:Adventure;Action;Historical drama,86636
genre:Adventure;Action;Horror,21656
genre:Adventure;Action;Miniseries;War;Historical drama,10844
genre:Adventure;Action;Romance,287697
genre:Adventure;Action;Romance;War;Historical drama,9342
genre:Adventure;Action;Sci-Fi,1176029
genre:Adventure;Action;Thriller,35942
genre:Adventure;Action;Thriller;Action & Adventure,260990
genre:Adventure;Action;Thriller;Action & Adventure;James Bond,20416
genre:Adventure;Action;War,160718
genre:Adventure;Action;War;Thriller,5602
genre:Adventure;Action;Western,25248
genre:Adventure;Action;Western;Action & Adventure,64482
genre:Adventure;Action;Western;Horror;Dark comedy,182111
genre:Adventure;Anime,61058
genre:Adventure;Comedy drama,85265
genre:Adventure;Comedy drama;Thriller,6589
genre:Adventure;Competition reality,4012646
genre:Adventure;Crime drama,43257
genre:Adventure;Crime drama;Action,465559
genre:Adventure;Crime drama;Thriller,3498
genre:Adventure;Fantasy;Science fiction;Comedy,5910
genre:Adventure;Fishing,680
genre:Adventure;Game show,1083
genre:Adventure;Historical drama,2368
genre:Adventure;Horror;Thriller,7372
genre:Adventure;Martial arts,64929
genre:Adventure;Outdoors,10522
genre:Adventure;Outdoors;Competition reality,9282535
genre:Adventure;Romance,46016
genre:Adventure;Science fiction,5357
genre:Adventure;Science fiction;Action,161712
genre:Adventure;Science fiction;Action;Horror;Thriller,47543
genre:Adventure;Science fiction;Action;Horror;Thriller;Sci-Fi,267548
genre:Adventure;Science fiction;Action;Sci-Fi,1450281
genre:Adventure;Science fiction;Action;Thriller;Sci-Fi,105852
genre:Adventure;Special,16826
genre:Adventure;Special;Family,8
genre:Adventure;Thriller,41152
genre:Adventure;Travel,71841
genre:Adventure;Travel;History,839
genre:Adventure;Western,156449
genre:Adventure;Western;Family Television,610428
genre:Agriculture,5018
genre:Animals,1168042
genre:Animals;Adventure,24685
genre:Animals;Adventure;Special,36874
genre:Animals;Competition reality,12522
genre:Animals;Health,9661
genre:Animals;Medical,2600
genre:Animals;Pets,477627
genre:Animals;Pets;Family,2796
genre:Animals;Science,1711
genre:Animals;Special,6449
genre:Animals;Special;Event;Pets,3851
genre:Animals;Special;Pets,150704
genre:Animated;Adventure;Action,232
genre:Animated;Comedy,121159
genre:Animated;Comedy;Adventure,729
genre:Animated;Comedy;Adventure;Action;Miniseries;Family,5491
genre:Animated;Comedy;Crime,6258
genre:Animated;Comedy;Family,56276
genre:Animated;Comedy;Sitcom,70393
genre:Animated;Drama,18249
genre:Animated;Drama;Anime,6838
genre:Animated;Music;Hip-Hop & rap;Competition reality,130710
genre:Animated;Science fiction;Action,1674
genre:Animated;Science fiction;Special,1111
genre:Animated;Sitcom,27451685
genre:Animated;Sitcom;Holiday,2448268
genre:Animated;Sitcom;Science fiction,1887964
genre:Animated;Sitcom;Science fiction;Holiday,9354
genre:Anime;Romantic comedy,57992
genre:Anthology,2193
genre:Anthology;Crime,632
genre:Anthology;Crime drama,255253
genre:Anthology;Drama,10069
genre:Anthology;Drama;Holiday;Thriller,313
genre:Anthology;Drama;Science fiction;Horror,100940
genre:Anthology;Drama;Thriller,2389278
genre:Anthology;Hockey,1298
genre:Anthology;Horror,100761
genre:Anthology;Horror;Thriller,80200
genre:Anthology;Mystery;Crime drama;Horror,2736
genre:Anthology;Mystery;Crime drama;Horror;Thriller,1051
genre:Anthology;Mystery;Drama,95315
genre:Anthology;Paranormal;Docudrama,3190173
genre:Anthology;Science fiction,22179
genre:Art,6219
genre:Art;Collectibles,4338146
genre:Art;Collectibles;Arts/crafts,2349
genre:Art;Competition reality,1428726
genre:Arts/crafts,30106
genre:Arts/crafts;Competition reality,6760
genre:Auction,41800
genre:Auto,1827622
genre:Auto racing,59951
genre:Auto racing;Competition reality,282609
genre:Auto;Arts/crafts,4716
genre:Auto;Auction,5267
genre:Auto;Auto racing,10128
genre:Auto;Collectibles,766586
genre:Auto;Collectibles;Auction,411189
genre:Auto;Competition reality,204879
genre:Auto;Docudrama;History;Miniseries;Technology;American history,9502
genre:Auto;How-to,57946
genre:Aviation,93384
genre:Aviation;War,15925
genre:Basketball,9437
genre:Bicycle racing,1320
genre:Biography,1488694
genre:Biography;Comedy drama,10828
genre:Biography;Crime drama,8016
genre:Biography;Docudrama,250708
genre:Biography;Docudrama;Holiday,5413
genre:Biography;Docudrama;Music;Gospel,20795
genre:Biography;Docudrama;Music;Hip-Hop & rap;Pop,4428
genre:Biography;Docudrama;Music;Hip-Hop & rap;R&B;Soul,7736
genre:Biography;Docudrama;Music;Pop,8187
genre:Biography;Docudrama;Music;Pop;Country;Gospel,310480
genre:Biography;Docudrama;Music;Pop;R&B,11909
genre:Biography;Docudrama;Religious;Miniseries,8865
genre:Biography;Docudrama;Romance,33666
genre:Biography;Docudrama;Western,6384
genre:Biography;Historical drama;Musical,25691
genre:Biography;History,3018
genre:Biography;Romance,16365
genre:Biography;Special,8590
genre:Boat racing,3255
genre:Boxing,118280
genre:Bus./financial,70205
genre:Children,225
genre:Children;Action;Anime,51031
genre:Children;Adventure,1392
genre:Children;Adventure;Action,260543
genre:Children;Adventure;Science fiction,1581
genre:Children;Adventure;Science fiction;Anime,13619
genre:Children;Animated,13221
genre:Children;Animated;Action,5948
genre:Children;Animated;Adventure,276223
genre:Children;Animated;Adventure;Action,8725
genre:Children;Animated;Adventure;Environment,48997
genre:Children;Animated;Adventure;Musical,3180
genre:Children;Animated;Adventure;Science fiction;Action,54614
genre:Children;Animated;Comedy,5393398
genre:Children;Animated;Comedy;Action,9284
genre:Children;Animated;Comedy;Adventure,2211942
genre:Children;Animated;Comedy;Adventure;Action,2491402
genre:Children;Animated;Comedy;Adventure;Action & Adventure;Animation,5362
genre:Children;Animated;Comedy;Adventure;Musical,16946
genre:Children;Animated;Comedy;Holiday,3273
genre:Children;Animated;Comedy;Mystery;Adventure,42
genre:Children;Animated;Comedy;Science fiction,644
genre:Children;Animated;Educational,2697
genre:Children;Animated;Educational;Adventure,374977
genre:Children;Animated;Educational;Adventure;Holiday,1328
genre:Children;Animated;Educational;Cooking,29
genre:Children;Animated;Educational;Holiday,433
genre:Children;Animated;Entertainment,40130
genre:Children;Animated;Musical comedy,12144
genre:Children;Animated;Mystery,426
genre:Children;Animated;Mystery;Adventure,92002
genre:Children;Animated;Mystery;Adventure;Holiday,135
genre:Children;Animated;Mystery;Adventure;Western,28
genre:Children;Animated;Nature;Animals,505
genre:Children;Animated;Nature;Educational;Adventure,29498
genre:Children;Animated;Sitcom;Science fiction,64660
genre:Children;Comedy,23538
genre:Children;Comedy;Adventure;Romance,5690
genre:Children;Comedy;Comedy drama;Family,3805
genre:Children;Comedy;Sitcom;Holiday;Romance,368
genre:Children;Comedy;Sitcom;Romance,15945
genre:Children;Documentary;Science,214567
genre:Children;Drama,73716
genre:Children;Educational,130486
genre:Children;Educational;How-to,8083
genre:Children;Entertainment,26546
genre:Children;Entertainment;Action;Auto racing;Anime,147
genre:Children;Fantasy;Animated,525269
genre:Children;Fantasy;Animated;Adventure,526759
genre:Children;Fantasy;Animated;Adventure;Action,2563
genre:Children;Fantasy;Animated;Adventure;Musical comedy,3744
genre:Children;Fantasy;Animated;Adventure;Science fiction;Action,174
genre:Children;Fantasy;Animated;Comedy,3142035
genre:Children;Fantasy;Animated;Comedy drama,309322
genre:Children;Fantasy;Animated;Comedy;Adventure,152594
genre:Children;Fantasy;Animated;Comedy;Adventure;Musical comedy;Musical,3717
genre:Children;Fantasy;Animated;Comedy;Adventure;Special,33
genre:Children;Fantasy;Animated;Comedy;Holiday,784
genre:Children;Fantasy;Animated;Comedy;Musical comedy;Musical,12308
genre:Children;Fantasy;Animated;Educational;Adventure,130
genre:Children;Fantasy;Animated;Holiday,23536
genre:Children;Fantasy;Animated;Science fiction,394883
genre:Children;Fantasy;Animated;Special,237
genre:Children;Fantasy;Animated;Special;Holiday,6828
