field_combination,summary_value,request_count,fill_rate
network:accuweather,32563,3146213,0.010349903201086513
network:aetv,16074515,1601744872,0.010035627571530006
network:alliant,20074,4537896,0.004423635975791424
network:amc,14135697,678738960,0.020826411673789878
network:americastestkitchen,63015,12410604,0.005077512746357872
network:aspire,591219,106164638,0.005568888201738134
network:axs,37570,3842531,0.009777409733324208
network:beinx,9575,1079868,0.008866824463730752
network:blueant,18350,3658755,0.005015367249241887
network:cheddar,6542,435115,0.015035105661721613
network:cinedigm,103,6959,0.01480097715188964
network:cineverse,62760,8460276,0.007418197704188374
network:condenast,20216,2579381,0.007837539316603479
network:deckthehallmark,691,44823,0.015416192579702385
network:designnetwork,2448,390204,0.006273641479841314
network:discovery,13830578,772833699,0.017895930286031692
network:earthx,14295,1851259,0.0077217720481034795
network:electric,36204,6213948,0.005826247660907365
network:fetv,600123,71605187,0.008380998991036781
network:fremantle,94187,21027306,0.004479270906125587
network:gac,904482,120632922,0.007497803957695727
network:gsn,1358801,189414162,0.007173703305247049
network:gusto,4594,873485,0.005259391975820993
network:hallmark,2020055,184336000,0.010958548520093743
network:hartbeat,91457,15139454,0.006040970830255833
network:hubbard,49979,3549974,0.014078694660862305
network:insight,15436,1735434,0.00889460503827861
network:insp,880726,187767514,0.004690513184298749
network:kin,293,41845,0.007002031306010276
network:lawcrime,167473,33509811,0.004997730366190368
network:lionsgate,572255,84577562,0.006766038018452223
network:magnolia,27343,2840431,0.00962635600019856
network:mythical,6006,1125681,0.005335436948833639
network:nosey,210886,37154101,0.005675981771164373
network:ottstudio,6938,1087560,0.0063794181470447605
network:outside,4353,424510,0.010254175402228451
network:pbs,38884,5999168,0.006481565443741532
network:playerstv,1060,155461,0.006818430345874528
network:pocketwatch,611,31743,0.019248338216299656
network:retrocrush,139,39782,0.003494042531798301
network:revry,10005,884274,0.011314366361557616
network:scripps,5028674,345136050,0.014570120971135875
network:sinclair,14407,1664411,0.008655914915246294
network:sony,419385,59541272,0.007043601621409767
network:tastemade,56348,5085498,0.011080134138288915
network:tmb,80471,14194734,0.005669074179199131
network:tnmarketing,8471,1432865,0.005911931689307786
network:urbanone,4330748,436077891,0.009931134068890459
network:usatoday,1914,179553,0.010659805182870796
network:viacom,23246767,1740790106,0.01335414701627446
network:wbd,104141,21032344,0.0049514690326480015
network:weigel,1942411,415070169,0.00467971717813332
network:worldpokertour,7036,1190212,0.005911551891595783
genre:Action,41444,3065592,0.01351908538383451
genre:Action sports,142,27705,0.00512542862299224
genre:Action sports;Competition reality,4546,152650,0.029780543727481165
genre:Action sports;Sport climbing,1500,70345,0.021323477148340323
genre:Action;Anime,143,38804,0.003685187094114009
genre:Action;Comedy drama,5662,673814,0.008402912376412481
genre:Action;Historical drama,81,7905,0.010246679316888045
genre:Action;Horror,179,19637,0.00911544533279014
genre:Action;Horror;Thriller,783,44092,0.017758323505397803
genre:Action;Martial arts,6081,527241,0.011533625040541232
genre:Action;Martial arts;Thriller;Sports,333,13860,0.024025974025974027
genre:Action;Romance;War;Action & Adventure,33,12702,0.0025980160604629193
genre:Action;Thriller,370551,28300400,0.013093489844666507
genre:Action;Thriller;Action & Adventure,410,32039,0.012796903773526016
genre:Action;Thriller;Action & Adventure;James Bond,62,4127,0.015023019142234069
genre:Action;Thriller;Dark comedy,25,3828,0.006530825496342737
genre:Action;Thriller;Sci-Fi,51,1573,0.03242212333121424
genre:Action;War;Historical drama,1069,111802,0.009561546305075044
genre:Action;War;Thriller,58,4328,0.013401109057301294
genre:Action;Western,323876,15133259,0.021401602919767646
genre:Action;Western;Romance,457,11257,0.04059696189037932
genre:Action;Western;Thriller,8,947,0.008447729672650475
genre:Adventure,29724,6303030,0.004715827149799382
genre:Adventure;Action,16894,903759,0.01869303652854356
genre:Adventure;Action;Action sports;Competition reality,14195,1438661,0.009866813655197437
genre:Adventure;Action;Anime,281,41493,0.00677222664063818
genre:Adventure;Action;Competition reality,28171,1668072,0.016888359735071388
genre:Adventure;Action;Historical drama,2015,86636,0.023258229835172447
genre:Adventure;Action;Horror,686,21656,0.031677133357960845
genre:Adventure;Action;Miniseries;War;Historical drama,231,10844,0.021302102545186278
genre:Adventure;Action;Romance,2409,287697,0.008373392840384155
genre:Adventure;Action;Romance;War;Historical drama,209,9342,0.022372083065724684
genre:Adventure;Action;Sci-Fi,33665,1176029,0.028625994767135843
genre:Adventure;Action;Thriller,789,35942,0.021952033832285348
genre:Adventure;Action;Thriller;Action & Adventure,7564,260990,0.028981953331545268
genre:Adventure;Action;Thriller;Action & Adventure;James Bond,145,20416,0.007102272727272727
genre:Adventure;Action;War,4643,160718,0.02888911011834393
